"eBay Motors","eBay Auto"
"Edit Variation","Modifier la version"
"To list product variations you have to map each variation to a child product on Amazon.
        <br/>Here you can edit the variations you have selected earlier.","Pour mettre en vente différentes versions du produit, vous devez mapper chaque version avec un produit secondaire sur Amazon.        <br/>Cette section vous permet de modifier les versions précédemment sélectionnées."
"Variations","Versions"
"Manage Variations","Gérer les versions"
"To list product variations you have to map each variation to a child product on Amazon.
<br/>Here you should specify the variations you want to sell. Then, use the Search ASIN/ISBN tool to map it.","Pour mettre en vente différentes versions du produit, vous devez mapper chaque version avec un produit secondaire sur Amazon.<br/>Spécifiez dans cette section les versions que vous souhaitez mettre en vente. Utilisez ensuite l'outil de recherche par code ASIN/ISBN pour les mapper."
"This section contains information on all Listings' Items.<br/>
    You can search for necessary Items and manage them from their Listings: click on the icon in the Manage column on appropriate
    line to navigate to the Listing, that contains chosen product.","Cette section comprend des informations sur tous les objets des annonces.<br/>    Vous pouvez rechercher des objets et les gérer à partir de leur annonce respective : cliquez sur l'icône de la colonne Gérer à la ligne appropriée pour accéder à l'annonce contenant le produit choisi."
"Marketplaces settings have been saved.","Les paramètres des places de marché ont été enregistrés."
"You must select at least one marketplace you will work with.","Vous devez sélectionner au moins une place de marché."
"Another Synchronization Is Already Running.","Une autre synchronisation est déjà en cours d'exécution."
"Getting information. Please wait ...","Obtention des informations. Veuillez patienter..."
"Preparing to start. Please wait ...","Préparation du démarrage. Veuillez patienter..."
"Synchronization has successfully ended.","La synchronisation est terminée."
"Synchronization ended with warnings. <a target=""_blank"" href=""%url%"">View log</a> for details.","La synchronisation s'est terminée avec des avertissements. <a target=""_blank"" href=""%url%"">Afficher le journal</a> pour plus de détails."
"Synchronization ended with errors. <a target=""_blank"" href=""%url%"">View log</a> for details.","La synchronisation s'est terminée avec des erreurs. <a target=""_blank"" href=""%url%"">Afficher le journal</a> pour plus de détails."
"This section allows you to set up the Marketplaces you will work with.<br/>
    Enable certain marketplaces and press the <span style=""text-decoration: underline;"">Save And Update</span> button in the top right corner, all necessary marketplace data will be downloaded and synchronized with M2E Pro settings.<br/><br/>
    It is recommended to update marketplaces when any marketplace changes are announced. <br/><br/>
    <b>Note:</b> Installation and update processes might be time-consuming, depending on the number of enabled marketplaces and your server environment. <br/>
    ","Vous pouvez configurer les places de marché que vous allez utiliser dans cette section.<br/>    Activez certaines places de marché et cliquez sur le bouton <span style=""text-decoration: underline;"">Enregistrer et mettre à jour</span> dans le coin supérieur droit. Toutes les données nécessaires sur les places de marché seront téléchargées et synchronisées avec les paramètres M2E Pro.<br/><br/>    Nous vous recommandons de mettre à jour les places de marché si des modifications les concernant sont prévues. <br/><br/>    <b>Remarque :</b> les processus d'installation et de mise à jour peuvent être longs, selon le nombre de places de marché activées et votre environnement serveur. <br/>    "
"This Log contains Orders history information.","Ce journal contient des informations sur l'historique des commandes."
"On this page you have to provide the access to your Play.com account M2E Pro could interact with Play.com.","Vous devez fournir l'accès à votre compte Play.com sur cette page pour que M2E Pro puisse interagir avec Play.com."
"M2E Pro was not able to get access to the Play.com account. Please, make sure, that you enter correct Play.com login and password. If everything is correct but you still unable to access your account, please contact Play.com Customer Service Department on 0845 800 1020 (UK only) or +44 (0)1534 877595 (outside UK).","M2E Pro n'a pas pu accéder au compte Play.com. Vérifiez que vous avez saisi le pseudo et le mot de passe Play.com. Si vous ne parvenez pas à accéder à votre compte alors que toutes les données sont correctes, contactez le Service clients de Play.com au 0845 800 1020 (Royaume-Uni uniquement) ou au +44 (0)1534 877595 (en dehors du Royaume-Uni)."
"Title or identifier of Play.com account for your internal use.","Titre ou identifiant du compte Play.com à usage interne."
"You must select and update Play.com marketplace to get access to this section.","Vous devez sélectionner la place de marché Play.com et la modifier pour pouvoir accéder à cette section."
"WEB/API Access","Accès WEB/API"
"Account Type","Type de compte"
"PlayTrade / ProTrade","PlayTrade/ProTrade"
"Merchant Toolbox","Merchant Toolbox"
"Type of your Play.com account.","Type de compte Play.com."
"Login to your Play.com account.","Connectez-vous à votre compte Play.com."
"Password to your Play.com account.","Mot de passe de votre compte Play.com."
"The 3rd Party Listings are the items, which were listed on Play.com without using M2E Pro extension. <br/><br/>
        To allow importing of these listings for the current Play.com Account, set Import 3rd Party Listings to <i>Yes</i>.<br/>
        Imported Listings can be found in %1$s > Manage Listings > 3rd Party Listings.<br/><br/>
        <b>Note:</b> The 3rd Party Listings Synchronization must be enabled in %1$s > Configuration > Synchronization.<br/><br/>
        To map the products of the 3rd Party Listings with existing products in Magento by Reference Code, Play.com Listing title or another identifier, set Product Mapping to <i>Yes</i> and choose appropriate attribute(s).
        A Magento product will be mapped if at least one of the chosen attributes meets the same value in Play.com Listing as it has in Magento.
        <br/><br/>
        After mapping Play.com Listing can be automatically moved from the 3rd Party Listings to M2E Pro Listings for further management.<br/><br/>

        <b>Note:</b> Auto mapping and moving actions are performed only once during the first 3rd Party Listings Synchronization.
        Afterwards, it can be performed manually on the 3rd Party Listings page (%1$s > Manage Listings > 3rd Party Listings).","Les annonces tierces correspondent aux objets qui ont été mis en vente sur Play.com sans recourir à l'extension M2E Pro. <br/><br/>        Pour autoriser l'importation de ces annonces vers le compte Play.com actuel, sélectionnez <i>Oui</i> pour l'option Importer des annonces tierces.<br/>        Les annonces importées sont accessibles à partir du menu %1$s > Gérer les annonces > Annonces tierces.<br/><br/>        <b>Remarque :</b> la synchronisation des annonces tierces doit être activée à partir du menu %1$s > Configuration > Synchronisation.<br/><br/>        Pour mapper les produits des annonces tierces avec des produits existants dans Magento par Code de référence, Titre d'annonce Play.com ou un autre code d'identification, sélectionnez <i>Oui</i> pour l'option Mappage des produits, puis choisissez les attributs appropriés. Un produit Magento est mappé si la valeur d'au moins un des attributs sélectionnés est la même dans l'annonce Play.com et dans Magento.        <br/><br/>        Après le mappage, l'annonce Play.com peut être déplacée automatiquement des annonces tierces vers les annonces M2E Pro en vue d'une gestion ultérieure.<br/><br/>        <b>Remarque :</b> les actions automatiques de mappage et de déplacement ne sont effectuées qu'une seule fois pendant la première synchronisation des annonces tierces. Par la suite, elle peut être exécutée manuellement à partir de la page Annonces tierces (%1$s > Gérer les annonces > Annonces tierces)."
